BlaI	BlaZ	CHIPS	Cna	EdinB	EtD	Fib	GapA	Hla	Hld	HlgA	HlgB	HlgC	IsaB	KatA	LukD	LukE	LukG	LukH	PBP2A	Nuc	PSMa1	PSMa4	LukF	LukS	Sak	SarA	Sbi	SCIN	SdrD	SEA	SEC	Spa	SplB	SspA_V8	ScpA	TSST1
0,1	0,04	0,37	0,08	0	0	0,18	0,53	0,06	13,29	0,03	0,01	0,27	0	0,02	0	0	0	0,04	0	0,35	1,53	0,01	0	0	0,02	0,22	0,17	0,87	0,11	0,02	0	0,34	0	0,01	0,19	0,86
0,1	0,05	0,38	0	0	0	0,23	0,49	0,4	68,06	0,03	0	0,01	0,05	0,04	0	0	0,57	0,12	0	0,99	4,57	0,03	6,69	8,43	0	0,28	0,26	0,5	0,04	0	0	0,18	0,11	0,03	0,4	0
0,09	0,05	0,31	0,12	0	0	0,17	0,95	0,07	14,29	0,02	0,01	0,18	0	0,04	0	0	0	0	0	0,44	1,66	0,01	0	0	0,02	0,32	0,05	0,89	0,11	0,01	0	0,19	0	0,01	0,53	0,78
0,14	0,02	0	0,02	0,5	0	0	0,47	0,89	126,03	0	0,01	0	0,07	0,14	0	0	0	0,08	0	0,81	16,62	0,06	7,8	6,09	0,06	0,3	0,17	0,48	0	0	0	0,04	0	0,26	0,24	0
0,19	0,07	0	0,03	1,62	0	0	0,47	1,63	298,71	0,02	0,15	0	0,11	0,17	0	0	0	0,13	0	1,54	30,45	0,11	33,14	24,19	0,08	0,46	0,5	0,89	0,16	0	0	0	0	1,08	0,5	0
0	0	0,16	0,14	0	0	0,13	0,52	0,21	24,4	0,02	0	0,44	0	0,07	0	0	0	0,02	0	1,04	1,25	0,01	1,78	1,29	0,02	0,29	0,16	0,65	0,11	0,02	0	0,14	0	0,03	0,21	0
0,14	0,02	0	0,12	0	0	0,1	0,45	0,23	39,97	0,01	0	0,33	0,08	0,07	0	0	0,37	0,06	0	0,77	3,19	0,02	0	0	0,06	0,3	0,07	0,34	0,01	0	0	0,03	0,09	0,15	0,37	0
0,08	0	0	0	0	0	0,1	0,42	0	0	0	0	0,03	0,04	0,03	0	0	0,06	0,01	0	0,13	0	0	0	0	0,01	0,16	0,31	0,5	0	0	0	0,34	0	0	0	0
0,14	0,02	0	0	0	0	0,03	0,4	0,68	31,26	0	0	0,2	0,02	0,05	0	0	0,38	0,04	0	0,83	5,26	0,03	10,6	7,04	0,06	0,29	0,07	0,35	0,09	0	0	0	0	0,08	0	0
0,15	0,02	0	0,02	0,16	0	0	0,58	0,22	55,57	0	0,07	0	0,05	0,13	0	0	0	0,03	0	0,24	10,23	0,06	3,37	2,36	0,03	0,5	0,26	0,17	0,08	0	0	0	0	0,08	0,02	0
0,09	0,01	0	0	0	0	0,22	0,33	0,94	49,7	0,07	0,02	2,52	0,04	0,06	0,14	0,2	1,09	0,16	0	0,63	5,94	0,06	0	0	0	0,17	0,8	0	0	0	0	0	0,2	0,07	0	0
0,13	0,02	0	0,06	0	0	0,1	0,48	0,02	20,04	0,01	0,01	0,11	0,08	0,04	0,01	0,01	0,12	0,03	0	0,48	1,62	0,01	0,98	0,82	0,03	0,17	0,21	0,27	0,03	0,05	0	0,07	0	0,02	0	0
0,1	0,02	0	0	0	0	0,08	0,35	1,27	93,23	0,05	0,24	1,76	0,08	0,02	0,2	0	1,12	0,23	0	1,69	12,8	0,04	0	0	0	0,14	0,45	0	0	0	0	0	0,37	0,03	0,22	0
0,09	0,03	0,05	0,13	0	0	0,1	0,61	0	29,77	0,01	0,06	0,32	0	0,03	0	0	0	0	0	1,51	2,02	0	0,85	0,54	0,03	0,23	0,14	0,64	0,36	0	0	0,37	0	0,02	0,19	0
0	0,04	0,13	0,03	0	0	0,03	0,5	1,63	137,62	0	0,15	1,22	0	0,04	0	0	0	0	0	1,6	12,38	0,03	17,56	11,12	0,06	0,34	0,19	0,57	0	0	0	0	0	0,63	0,29	0
0	0	0,67	0	0	0	0,06	0,97	0,54	37,9	0,05	0,36	0,48	0,03	0,02	0	0	0,12	0,04	0	0,63	4,09	0,03	0	0	0,08	0,47	0,07	1,02	0,01	0	0,83	0	0	0,1	1,03	0
0	0,02	0,19	0,04	0	0	0,12	0,42	0	49,77	0,03	0,12	1,14	0	0,02	0	0	0	0,04	0	1,8	3,93	0,02	14,51	5,49	0,04	0,27	0,13	0,56	0,08	0	0	0,04	0	0,06	0,76	0
0,06	0,02	0	0,02	0,35	0	0	0,46	1,24	76,18	0	0,21	0	0,13	0,05	0	0	0	0,05	0	1,08	8,75	0,04	11,49	4,65	0,06	0,31	0,07	0,37	0	0	0	0	0	0,33	1,62	0
0	0	0,07	0	0	0	0,08	0,42	0,08	1,09	0	0,01	0,06	0,15	0,04	0	0	0,12	0,02	0	0,49	0,05	0	0,26	0,1	0,09	0,21	0,18	0,38	0,03	0	0	0,21	0	0	0	0
0	0	0	0,04	0	0	0,12	0,47	0,99	70,04	0,05	0,34	1,86	0,05	0,04	0,89	0,81	1,05	0,25	0	1,1	6,5	0,03	0	0	0,04	0,29	0,26	0,69	0,01	0,09	0	0	0,16	0,1	0,25	0
0	0	0,19	0	0	0	0,16	0,44	0,74	101,92	0,03	0,17	1,73	0,08	0,04	0	0	0,94	0,18	0	0,84	19,36	0,07	0	0	0,04	0,21	0,17	0,38	0	0	0	0	0,64	0,1	0,31	0
0,09	0,05	0,22	0,03	0	0	0,09	0,14	0	17,88	0,03	0,08	1,23	0,06	0,01	0	0	0,21	0,04	0	0,44	1,48	0	0	0	0,06	0,1	0,07	0,54	0,06	0,02	0	0,06	0	0,02	0,37	0
0,12	0	0	0	0	0	0,04	0,68	2,73	201,5	0,16	0,4	0,52	0,07	0,03	0	0	0,2	0,04	0	1,91	52,4	0,22	0	0	0	0,4	0,06	0	0	0	0	0	0,01	5,02	1,7	0
0	0	0	0	0	0	0,12	0,22	0,44	33,69	0,03	0,08	1,23	0,05	0,02	0,16	0,42	0,65	0,17	0,07	0,56	8,54	0,02	0	0	0,01	0,16	0,19	0,36	0	0,05	0	0	0,72	0,04	0	0
0	0	0	0	0,8	0,62	0,12	0,39	0,37	24,2	0,03	0,08	0,77	0,07	0,01	0,03	0,06	0,28	0,05	0	0,84	3,15	0,01	2,83	1,08	0,04	0,23	0,07	0,29	0	0	0	0,01	0,1	0,09	0,93	0
0	0,05	0	0,07	0	0	0,14	0,26	0,01	16,42	0,02	0,44	4,14	0	0,01	0	0	0	0,02	0	0,71	3,26	0,01	0	0	0	0,14	0,11	0	0,06	0	0	0,09	0	0,03	0,86	0,81
0	0,05	0,07	0	0	0	0	0,37	1,76	176,78	0,03	0,08	0	0	0,06	0	0	0	0,08	0	0,59	32,51	0,07	0	0	0,07	0,25	0,17	0,39	0,22	0	2,55	0	0	0,29	0,62	0
0	0,02	0,16	0,06	0	0	0,07	0,57	0,44	23,39	0,04	0,07	0,24	0	0,03	0	0	0	0	0	0,65	8,86	0,03	0	0	0	0,17	0,47	0,1	0,03	0	0	0,02	0	0,02	0,23	0
0,12	0,05	0	0,02	0,7	0	0	0,43	1,36	155,18	0	0	0	0,16	0,07	0	0	0	0,13	0	1,57	8,66	0,05	26,48	18,22	0,08	0,29	0,36	0,81	0	0	0	0	0	0,75	0,46	0
0,01	0,01	0,07	0	0	0	0,11	0,3	0,1	2,43	0,01	0,01	0,12	0,06	0,02	0	0	0,21	0	0	0,82	1,46	0	0	0	0	0,1	0,15	0,41	0,01	0	0	0,12	0,04	0,02	0,79	0
0,01	0,01	0,04	0	0	0	0,08	0,36	0,17	8,38	0,02	0,02	0,15	0,07	0,05	0	0	0,2	0,04	0	0,56	0,84	0,01	0	0	0,04	0,23	0,08	0,17	0,04	0	0	0	0	0,09	0,75	0
0,11	0,02	0	0	0	0	0,11	0,21	0,4	39,21	0,02	0,05	0,88	0,05	0,03	0,14	0,35	0,43	0,09	0,09	0,57	8,65	0,02	0	0	0	0,15	0,19	0,38	0	0,05	0	0	0,27	0,05	0,18	0
0,07	0,01	0	0,03	0	0	0,11	0,39	0,22	9,34	0,01	0,01	0	0,05	0,03	0,08	0	0	0,05	0,02	0,19	4,08	0,01	2,55	0,81	0,01	0,28	0,12	0,31	0,06	0	0	0,06	0	0	0,76	0
0	0,06	0,08	0,02	0	0	0,11	0,49	0,13	29,73	0	0,04	0,2	0	0,02	0	0	0	0	0	0,17	12,64	0,02	0	0	0	0,29	0,08	0,23	0,11	0,03	0	0,14	0	0,02	0,48	0,25
0	0	0,19	0,01	0	0	0,02	0,35	0,94	55,52	0,06	0,02	0	0	0,03	0	0	0	0	0	0,87	13,25	0,02	0	0	0	0,16	0,03	0,34	0	0	0	0	0	0,17	1,04	0
0	0,04	0	0	1,78	1,71	0,17	0,53	1,01	104,36	0,04	0,13	1,71	0,1	0,03	0,27	0,23	0,58	0,11	0,03	1,37	18,49	0,06	10,02	7,08	0,07	0,25	0,18	0,5	0,01	0	0	0,01	0,38	0,16	0,87	0
0,12	0,02	0	0,05	0	0	0,13	0,02	0,03	43,63	0,02	0,05	0,35	0,05	0,02	0	0	0,37	0,08	0	0,66	7,82	0,03	2,75	1,75	0,03	0,12	0,21	0,42	0	0,08	1,85	0,02	0,02	0,03	0	1,55
0,16	0,04	0,23	0	0,96	0,8	0,04	0,22	0,63	48,58	0,21	0,16	0	0	0,03	0	0	0	0	0	0,88	6,8	0,02	0	0	0,03	0,23	0,07	0,44	0	0	0	0	0	0,6	0,79	0
0	0	0	0,01	0,31	0	0	0,31	0,81	62,23	0	0	0	0,11	0,07	0	0	0	0	0	0,79	4,67	0,01	11,19	3,59	0,04	0,3	0,06	0	0	0	0	0	0	0,09	0,75	0
0,01	0,01	0,03	0	0	0	0,02	0,31	0,46	37,82	0,02	0,01	0,21	0,08	0,02	0	0	0,42	0,08	0,02	0,68	3,2	0	3,87	1,3	0,07	0,17	0,13	0,29	0	0	0	0,02	0,09	0,05	0,47	0
0	0	0	0	0,8	1,02	0,1	0,43	0,48	34,68	0,02	0,09	0,94	0,06	0,04	0,12	0,19	0,41	0,08	0	0,75	3,7	0,01	7,44	3,04	0,03	0,26	0,07	0,36	0,02	0	0	0	0,29	0,09	1,02	0
0	0,05	0	0,02	0,54	0	0	0,48	2,59	230,94	0	0,27	0	0,17	0,07	0	0	0	0,09	0	0,09	38,56	0,08	14,95	9,93	0,06	0,28	0,13	0,64	0,08	0	0	0	0	0,43	1,96	0
0,09	0,02	0,1	0,15	0	0	0,13	0,65	0,03	22,94	0,01	0,04	0,17	0	0	0	0	0	0	0	0,52	2,36	0,01	0,2	0,11	0,02	0,16	0,2	0,6	0,19	0,02	0	0,29	0	0,02	0,07	0
0,1	0,03	0,18	0,06	0	0	0,12	0,43	0,1	27,58	0,03	0,19	1,19	0	0,02	0	0	0	0	0	0,33	3,48	0,01	0	0	0,01	0,21	0,24	0,69	0,18	0,02	0	0,13	0	0,01	0,13	0
0	0,02	0	0	1,24	1,23	0,12	0,41	0,65	91,42	0,02	0,07	0,9	0,09	0,02	0,1	0,12	0,43	0,07	0,03	1,48	13,88	0,03	5,94	4,45	0,08	0,2	0,12	0,48	0	0	0	0	0,29	0,15	0,72	0
